NAME,PRODUCT_GROUP,CALL_ID,INTERACTION_MEDIUM,TOTAL_ATTENDEES,VENUE_CATEGORY,INTERACTION_DATE,IS_PARENT__C,RESIDENCY_PROGRAMME,MSL_ID,INTERACTION_VENUE,RESIDENCY_PROGRAMME_FLAG,INTERACTION_DETAIL_ID,INITIATIVES,PRODUCT_NAME,PRODUCT_ID,INITIATIVE_CATEGORY,INTERACTION_CATEGORY,INTERACTION_NAME,MSL_NAME,MONTH_YEAR,QUARTER_NAME,QUARTER_YEAR
WCT-411922,Product 1,v78TR98995YRuZ5IYJ,Phone,5,Others,02-01-2024,TRUE,FALSE,1293Q881236VMrzDIG,PS,0,e99FT111236d3qBIZQ,Initiative 1,Product 1,2205,BCP,Call,IJ123489,25,Jan '24,Q1,Q1 '24
WCT-411950,Product 1,v78TR98995YRuT0IYJ,Email,157,Others,03-01-2024,TRUE,FALSE,1293Q881236XqikDIC,PS,0,e99FT111236d3rLIZQ,Initiative 1,Product 1,2205,BCP,Mail,IJ123399,19,Jan '24,Q1,Q1 '24
WCT-411958,Product 1,v78TR98995YRubbIYB,Phone,222,Others,03-01-2024,TRUE,FALSE,1293Q881236XqWjDIK,PS,0,e99FT111236d3ruIFA,Initiative 1,Product 1,2205,BCP,Call,IJ123571,5,Jan '24,Q1,Q1 '24
WCT-411912,Product 1,v78TR98995YRuRdIYJ,Phone,361,Others,04-01-2024,TRUE,FALSE,1293Q881236XqXDIA0,PS,0,e99FT111236d3sEIZQ,Initiative 1,Product 1,2205,BCP,Call,IJ123382,22,Jan '24,Q1,Q1 '24
WCT-411908,Product 1,v78TR98995YRudDIYR,Virtual,68,Others,04-01-2024,TRUE,FALSE,1293Q88000708K2DII,PS,0,e99FT111236d3tHIZQ,Initiative 1,Product 1,2205,BCP,Online,IJ123591,8,Jan '24,Q1,Q1 '24
WCT-411980,Product 1,v78TR98995YRudXIYR,Phone,332,Others,02-01-2024,TRUE,FALSE,1293Q881236XqikDIC,PS,0,e99FT111236d3tRIZQ,Initiative 1,Product 1,2205,BCP,Call,IJ123595,21,Jan '24,Q1,Q1 '24
WCT-411985,Product 1,v78TR98995YRuMcIYJ,Phone,195,Others,03-01-2024,TRUE,FALSE,1293Q8800075uiFDIQ,PS,0,e99FT111236d3tlIFA,Initiative 1,Product 1,2205,BCP,Call,IJ123307,18,Jan '24,Q1,Q1 '24
WCT-411981,Product 1,v78TR98995YRucKIYR,Phone,361,Others,05-01-2024,TRUE,FALSE,1293Q88000708K2DII,PS,0,e99FT111236d3tqIFA,Initiative 1,Product 1,2205,BCP,Call,IJ123580,19,Jan '24,Q1,Q1 '24
WCT-411990,Product 1,v78TR98995YRuVYIYJ,Phone,190,Others,05-01-2024,TRUE,FALSE,1293Q881236XqelDIC,PS,0,e99FT111236d3uAIZQ,Initiative 1,Product 1,2205,BCP,Call,IJ123431,24,Jan '24,Q1,Q1 '24
WCT-411992,Product 1,v78TR98995YRucPIYR,Phone,112,Others,04-01-2024,TRUE,FALSE,1293Q881236VMrzDIG,PS,0,e99FT111236d3uFIZQ,Initiative 1,Product 1,2205,BCP,Call,IJ123581,15,Jan '24,Q1,Q1 '24
