SESSION_ID,SESSION_DATE,SESSION_STARTED_TIME,SESSION_MODE,SESSION_CLOSED_REMARK,PRESENTATION_ID,PRESENTATION_NAME,PRODUCT,THERAPY_NAME,RA_OR_PA,PRESENTATION_MIX_TYPE,SESSION_TYPE,USER_NAME,TIME_IN_HRS,CALL_ID,ACC_ID,H_ACC_NAME__C,PRESENTATIONS_CUSTOMER_TYPE,ACC_RECORD_TYPE,ACC_CORE_TYPE,TERRITORY,MLS_ID,IS_ACTIVE,THERAPY,RESOURCE_FILETYPE,POWERPOINT_TYPE,PRODUCTS,CALL_STATUS,MSL
4000163,21-06-2023,20:32:00.000,Practice,false,40261,5,Product 3,Therapy 2,Proactive,Proactive,normal,4,0.004074074,,,,,,,9784-CTT_IN_T1707,5415,true,Therapy 2,PowerPoint,NIS - PPT,Product 3,Unlinked,Chris
4000206,23-01-2023,09:02:00.000,Practice,true,41589,6,Product 4,Therapy 2,Proactive,Proactive,normal,4,0.000358796,,,,,,,,5468,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Unlinked,Chris
4000898,01-10-2023,10:14:00.000,Live,true,41301,9,Product 4,Therapy 2,Proactive,Proactive,normal,4,0.000671296,t65Cb24245ZcunBIZR,1157t24245YROCVZZ5,,OTH,,,9784-CTT_IN_T1707,5157,true,Therapy 2,Video,NIM - Video,Product 4,Linked,Chris
4000256,01-02-2023,07:35:00.000,Practice,false,40442,10,Product 4,Therapy 2,Proactive,Proactive,normal,4,0.008900463,,,,,,,,5021,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Unlinked,Chris
4001633,06-09-2023,08:40:00.000,Practice,true,41570,4,Product 5,Therapy 2,Proactive,Proactive,normal,4,0.001030093,,,,,,,,5385,true,Therapy 2,PowerPoint,IS - PPTX/PDF,Product 5,Unlinked,Chris
4000913,17-02-2024,10:49:00.000,Live,true,41379,7,Product 5,Therapy 2,Proactive,Proactive,normal,4,0.000335648,,,,,,,1968-CTT_IN_T1709,5351,true,Therapy 2,Video,NIM - Video,Product 5,Unlinked,Chris
4001722,02-03-2024,06:41:00.000,Practice,false,41043,4,Product 5,Therapy 2,Proactive,Proactive,normal,4,0.093321759,,,,,,,9784-CTT_IN_T1707,5175,true,Therapy 2,Video,NIM - Video,Product 5,Unlinked,Chris
4000088,18-07-2024,10:59:00.000,Live,true,40200,8,Product 5,Therapy 2,Proactive,Proactive,normal,4,0.000752315,t65Cb24245ZcwE2IZJ,1157t24245g1MeVZZU,2278h24245g1MeVZZU,OTH,,,,5296,true,Therapy 2,PowerPoint,NIS - PPT,Product 5,Linked,Chris
4001537,04-02-2024,09:41:00.000,Practice,false,41295,8,Product 5,Therapy 2,Proactive,Proactive,normal,4,0.000532407,,,,,,,,5031,true,Therapy 2,PowerPoint,NIS - PPT,Product 5,Unlinked,Chris
4001301,18-12-2023,01:56:00.000,Practice,true,41550,7,Product 5,Therapy 2,Proactive,Proactive,normal,4,0.007986111,,,,,,,1969-CTT_IN_T1704,5496,true,Therapy 2,PowerPoint,NIS - PPT,Product 5,Unlinked,Chris
4001491,14-10-2023,00:15:00.000,Live,true,40596,1,Product 4,Therapy 2,Proactive,Proactive,normal,9,0.000821759,t65Cb24245ZcyZwIZJ,,,OTH,,,9784-CTT_IN_T1707,5293,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Linked,Edward
4000464,07-01-2023,12:58:00.000,Live,false,41850,10,Product 6,Therapy 1,Proactive,Proactive,normal,9,0.004965278,,,,,,,9786-CTT_IN_T9706,4621,true,Therapy 1,HTML,NIS - PPT,Product 6,Unlinked,Edward
4001829,16-03-2023,00:59:00.000,Practice,true,41711,3,Product 3,Therapy 2,Proactive,Proactive,normal,20,0.000370370,,,,,,,,4952,true,Therapy 2,PowerPoint,NIS - PPT,Product 3,Unlinked,Paul
4001657,14-11-2023,13:48:00.000,Live,false,41557,1,Product 4,Therapy 2,Proactive,Proactive,normal,20,0.001006944,,,,,,,,5365,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Unlinked,Paul
4000203,18-07-2024,00:59:00.000,Live,false,40809,9,Product 4,Therapy 2,Proactive,Proactive,normal,20,0.000208333,,,,,,,1969-CTT_IN_T1704,4771,true,Therapy 2,PowerPoint,NIS - PPT,Product 4,Unlinked,Paul
