INTERACTION_TYPE,INTERACTION_CATEGORY,VENUE,CREATE_DATE,INTERACTION_VENUE,RESIDENCY_PROGRAM,INITIATIVE,PRODUCT_NAME,PRODUCT__GROUP,DPO_COMPOUND,Customer Type,INITIATIVE__CATEGORY,MSL_ID,MSL,CALL_ID,THERAPY_NAME,CUSTOMER_TYPE,NAME,TOTAL_CLINICAL_PROGRAM_ATTENDEES,IS_PARENT__C,CLINICAL_INTERACTION_DETAIL_ID,INITIATIVES,INTERACTION_NAME,BIFURCATION
Face to Face,In-Person,Other,16-05-2024,Practice-Site,FALSE,Initiative 8,Product 1,Product Group 2,Compound 2,Others,Elite Launch Support,9806FF76,Jorge,ce298eec3287497f95,THERAPY 3,Non KOL,WCT-410947,9,FALSE,e99FT469130,Initiative 6,IJ806666,MED
Telephone,In-Person,Reactive,19-03-2025,Clinical Program Proactive,TRUE,Initiative 1,Product 1,Product Group 2,Compound 1,Others,FAS BTX Differentiations,751DA131,Robin,b0e84615a941454ca7,THERAPY 1,KOL,WCT-410512,5,TRUE,e99FT451718,Initiative 4,IJ992330,MED
Digital,Online,Proactive,30-05-2023,Off-Site,FALSE,Initiative 7,Product 1,Product Group 3,Compound 2,KOL,Portfolio Management,CB66DD2E,Kevin,46f67178aa154016a2,THERAPY 3,NON-KOL,WCT-410815,23,TRUE,e99FT649818,Initiative 5,IJ928669,COMM
Digital,In-Person,Other,06-06-2023,Clinical Program Proactive,TRUE,Initiative 6,Product 1,Product Group 1,Compound 1,Others,FAS BTX Differentiations,1E8B7153,Kevin,0f2a9828f64d48e6ab,THERAPY 3,Non KOL,WCT-410523,9,FALSE,e99FT334663,Initiative 7,IJ826035,MED
Face to Face,Mail,Other,07-08-2023,Clinical Program Proactive,FALSE,Initiative 11,Product 2,Product Group 1,Compound 3,KOL,FAS BTX Differentiations,2DF4A21C,Chris,22bb3ededcf94884b6,THERAPY 1,Non KOL,WCT-410173,11,TRUE,e99FT154737,Initiative 5,IJ873494,MED
Face to Face,Call,Reactive,15-03-2025,Clinical Program Reactive,FALSE,Initiative 10,Product 3,Product Group 2,Compound 3,Others,Portfolio Management,1D5E073D,Gloria,dae4be39219a492186,THERAPY 3,NON-KOL,WCT-410012,11,FALSE,e99FT117556,Initiative 5,IJ479030,MED
Face to Face,Mail,Reactive,30-05-2023,Clinical Program Proactive,TRUE,Initiative 12,Product 1,Product Group 1,Compound 4,KOL,Elite Launch Support,16A7CB85,Sanchez,84284bab1ae941329c,THERAPY 1,KOL,WCT-410111,5,FALSE,e99FT718658,Initiative 3,IJ956570,COMM
Face to Face,Call,Other,20-11-2024,Practice-Site,FALSE,Initiative 10,Product 2,Product Group 1,Compound 5,Others,Elite Launch Support,D4EA8D2C,Collin,67eec5d4362e481ab7,THERAPY 2,KOL,WCT-410566,5,FALSE,e99FT272834,Initiative 1,IJ805844,MED
Digital,In-Person,Proactive,25-09-2024,Clinical Program Reactive,FALSE,Initiative 3,Product 3,Product Group 2,Compound 2,KOL,Study Support,E1B9EB7F,Mathew,eb200013e7b14763a6,THERAPY 1,NON-KOL,WCT-410840,0,FALSE,e99FT747767,Initiative 12,IJ208317,MED
Face to Face,Call,Other,12-01-2024,Clinical Program Reactive,TRUE,Initiative 4,Product 1,Product Group 1,Compound 3,Others,Study Support,2531F341,Edward,64c7185ac9f9434ba8,THERAPY 2,KOL,WCT-410450,4,TRUE,e99FT855463,Initiative 8,IJ124579,MED
Telephone,Call,Reactive,05-02-2025,Off-Site,FALSE,Initiative 2,Product 2,Product Group 1,Compound 3,KOL,Elite Launch Support,B4A9B8AF,Denver,8af3a7f8e71b479f84,THERAPY 3,NON-KOL,WCT-410254,18,TRUE,e99FT284239,Initiative 6,IJ913431,MED
Video Conferencing,In-Person,Other,05-04-2025,Clinical Program Reactive,TRUE,Initiative 11,Product 1,Product Group 1,Compound 5,Others,Study Support,4D9F6001,Morgan,955dc5f47d3f47b280,THERAPY 1,KOL,WCT-410179,1,TRUE,e99FT724381,Initiative 4,IJ245304,MED
Telephone,Online,Other,24-11-2023,Practice-Site,TRUE,Initiative 11,Product 3,Product Group 2,Compound 3,KOL,Elite Launch Support,2EB1B8A4,Morgan,9f962af026174c38a2,THERAPY 3,NON-KOL,WCT-410580,1,TRUE,e99FT615454,Initiative 5,IJ558813,MED
Telephone,Mail,Other,12-04-2023,Clinical Program Proactive,FALSE,Initiative 8,Product 1,Product Group 1,Compound 1,Others,Elite Launch Support,1C981930,Robin,e441e460e74242d7b8,THERAPY 2,Non KOL,WCT-410854,10,FALSE,e99FT623602,Initiative 11,IJ823079,COMM
Face to Face,Mail,Other,16-11-2023,Clinical Program Reactive,FALSE,Initiative 5,Product 1,Product Group 3,Compound 5,KOL,FAS BTX Differentiations,476E187E,Daniella,d30188fa75b5456f9d,THERAPY 1,Non KOL,WCT-410376,14,FALSE,e99FT108801,Initiative 4,IJ449825,COMM
Video Conferencing,Call,Other,24-07-2024,Off-Site,TRUE,Initiative 10,Product 3,Product Group 2,Compound 1,KOL,FAS BTX Differentiations,D2ADBBEA,Edward,632dec87efce4e9787,THERAPY 1,Non KOL,WCT-410246,10,TRUE,e99FT971045,Initiative 8,IJ852212,MED
